plot_key,district,habitation,field_type,loreys_h_m,crown_cover_pct,n_trees,n_species,sal_ba_frac
21.161816_85.365742,DHENKANAL,RAIJHARANA,1,13.664723668214831,68.0,4,2,0.9747825815903496
21.574184_85.390018,KENDUJHAR,BHANRADI SAHI,2,0.1606924231057764,2.5,0,0,0.0600150037509377
21.574526_85.389458,KENDUJHAR,BHANRADI SAHI,2,2.4402926829268283,63.0,2,2,0.48390243902439
21.574774_85.38847,KENDUJHAR,BHANRADI SAHI,2,2.729964722340491,2.5,0,0,0.00608235508789
21.574844_85.390232,KENDUJHAR,JAKARBANDHA SAHI,4,7.951991295987043,63.0,1,1,0.0065280097161074
21.575176_85.390956,KENDUJHAR,BHANRADI SAHI,4,4.02185476815398,8.0,11,5,0.106846019247594
21.57564_85.38927,KENDUJHAR,BHANRADI SAHI,4,7.020603324440797,73.0,6,1,0.0
21.575764_85.387851,KENDUJHAR,BHANRADI SAHI,1,18.09823608213183,38.0,4,2,0.619754926654388
21.614841_85.407242,KENDUJHAR,BHANRADI SAHI,4,9.500829762368522,83.0,2,2,0.0024931827035449
21.6178_85.381345,KENDUJHAR,TUNKULSAHI,2,0.7566037735849059,18.0,0,0,0.0
21.618997_85.379154,KENDUJHAR,TUNKULSAHI,1,14.97533550561439,63.0,1,1,0.0
21.621938_85.383944,KENDUJHAR,TUNKULSAHI,2,0.8264711359404098,2.5,0,0,0.0
21.62195_85.383933,KENDUJHAR,TUNKULSAHI,4,12.528477257839086,23.0,4,2,0.0
