plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
20.934691_85.665477,DHENKANAL,TULASIPASI,,18.0,7,1,1.0,1,10,6,6,6,6,6
20.935038_85.668127,DHENKANAL,TULASIPASI,,8.0,6,1,1.0,1,10,6,6,6,6,6
20.967839_85.697164,DHENKANAL,KANKANA,,28.0,4,1,1.0,1,10,6,6,6,6,6
20.968462_85.697621,DHENKANAL,KANKANA,,2.5,0,0,0.4555932203389829,1,10,10,10,10,8,12
20.96877_85.697427,DHENKANAL,KANKANA,,2.5,1,1,1.0,1,10,6,6,6,6,6
20.969023_85.695805,DHENKANAL,KANKANA,,53.0,0,0,0.0,1,10,11,11,10,11,10
20.970158_85.69672,DHENKANAL,KANKANA,,23.0,3,1,1.0,1,10,6,6,6,6,6
20.970671_85.695629,DHENKANAL,KANKANA,,28.0,0,1,1.0,1,10,6,6,6,6,6
20.971334_85.696502,DHENKANAL,KANKANA,,28.0,2,1,1.0,1,10,6,6,6,6,6
20.972437_85.695593,DHENKANAL,KANKANA,,18.0,0,1,1.0,1,10,6,6,6,6,6
21.018825_85.612578,DHENKANAL,BALIKUMA,Balikurma,73.0,3,1,1.0,1,10,6,6,6,6,6
21.018991_85.615656,DHENKANAL,BALIKUMA,Balikurma,48.0,7,1,1.0,1,10,6,6,6,6,6
21.019655_85.619941,DHENKANAL,BALIKUMA,Balikurma,83.0,10,1,1.0,1,10,6,6,6,6,6
21.019794_85.61085,DHENKANAL,BALIKUMA,Balikurma,73.0,6,1,1.0,1,10,6,6,6,6,6
21.019849_85.61665,DHENKANAL,BALIKUMA,Balikurma,78.0,6,1,1.0,1,10,6,6,6,6,6
21.021416_85.610006,DHENKANAL,BALIKUMA,Balikurma,58.0,5,1,1.0,1,10,6,6,6,6,6
21.02179_85.618937,DHENKANAL,BALIKUMA,Balikurma,63.0,10,1,1.0,1,10,6,6,6,6,6
21.021861_85.613366,DHENKANAL,BALIKUMA,Balikurma,43.0,8,1,1.0,1,10,6,6,6,6,6
21.022286_85.61525,DHENKANAL,BALIKUMA,Balikurma,48.0,9,1,1.0,1,10,6,6,6,6,6
21.023003_85.611504,DHENKANAL,BALIKUMA,Balikurma,48.0,9,1,1.0,1,10,6,6,6,6,6
21.023941_85.616045,DHENKANAL,BALIKUMA,Balikurma,53.0,9,1,1.0,1,10,6,6,6,6,6
21.040585_85.690666,DHENKANAL,NUA SAHI,Kampulei,28.0,7,1,1.0,1,10,6,6,6,6,6
21.041399_85.688028,DHENKANAL,NUA SAHI,Kampulei,38.0,7,1,1.0,1,10,6,6,6,6,6
21.043315_85.689977,DHENKANAL,NUA SAHI,Kampulei,38.0,5,1,1.0,1,10,6,6,6,6,6
21.043929_85.684979,DHENKANAL,HADI SAHI,Kampulei,28.0,2,1,1.0,1,10,6,6,6,6,6
21.044343_85.521868,DHENKANAL,ADHAPALLI,Adhapalli,13.0,1,1,1.0,1,10,6,6,6,6,6
21.044772_85.519605,DHENKANAL,ADHAPALLI,Adhapalli,8.0,10,1,1.0,1,10,6,6,6,6,6
21.045566_85.52362,DHENKANAL,ADHAPALLI,Adhapalli,8.0,12,1,1.0,1,10,6,6,6,6,6
21.046197_85.525567,DHENKANAL,ADHAPALLI,Adhapalli,2.5,2,1,1.0,1,10,6,6,6,6,6
21.046237_85.520861,DHENKANAL,ADHAPALLI,Adhapalli,8.0,11,1,1.0,1,10,6,6,6,6,6
21.046252_85.683699,DHENKANAL,NUA SAHI,Kampulei,53.0,9,1,1.0,1,10,6,6,6,6,6
21.047075_85.526962,DHENKANAL,ADHAPALLI,Adhapalli,2.5,1,1,1.0,1,10,6,6,6,6,6
21.047435_85.691744,DHENKANAL,NUA SAHI,Kampulei,38.0,8,1,1.0,1,10,6,6,6,6,6
21.047558_85.52488,DHENKANAL,ADHAPALLI,Adhapalli,8.0,6,1,1.0,1,10,6,6,6,6,6
21.047646_85.527402,DHENKANAL,ADHAPALLI,Adhapalli,2.5,0,1,1.0,1,10,6,6,6,6,6
21.047655_85.526258,DHENKANAL,ADHAPALLI,Adhapalli,8.0,0,1,1.0,1,10,6,6,6,6,6
21.048412_85.523557,DHENKANAL,ADHAPALLI,Adhapalli,2.5,5,1,1.0,1,10,6,6,6,6,6
21.048834_85.524919,DHENKANAL,ADHAPALLI,Adhapalli,2.5,1,1,1.0,1,10,6,6,6,6,6
